"firm_name","n_offres","avg_req_exp","top_skill_req","avg_wage","sector_main","addr_dept_main"
"exakis nelite",1,1,"azure",NA,"Secteur informatique, ESN",31
"excelcio",1,NA,"équipe",NA,NA,75
"exotec",4,0,"python",NA,"Industrie high-tech, Telecom",59
"expectra",2,1,"équipe",40000,"Banque, Assurance, Finance",44
"expleo",10,7,"équipe",NA,"Secteur informatique, ESN",31
"externatic",2,1,"équipe",45000,"Services aux Entreprises",44
"externatic recrutement",1,NA,NA,NA,"Services aux Entreprises",44
"extia",12,NA,"équipe",NA,"Secteur informatique, ESN",34
"ey",24,7,"équipe",62576.9230769231,"Secteur informatique, ESN",92
"fabdev",1,NA,"seaborn",NA,NA,75
"fairly made",1,3,"power bi",NA,NA,NA
"fareva it apps",2,7,"reporting",NA,"Industrie Manufacturière",26
"federation française de rugby",1,NA,"modélisation",36400,NA,91
"fidal",1,0,"équipe",NA,"Secteur informatique, ESN",75
"fiderim deux savoie",1,1,"tableau",35000,"Services aux Entreprises",74
"filhet allard",1,NA,"optimisation",NA,NA,NA
"finance people",1,NA,"équipe",47500,"Services aux Entreprises",78
"financepeople",1,NA,"python",50000,NA,78
"findways",1,NA,"équipe",18000,NA,92
"flyinstinct",1,NA,"statistique",NA,NA,75
"fondation pour la recherche medicale",1,NA,"curiosité",NA,NA,86
"foodles",1,NA,"python",NA,NA,92
"fortuneo",1,NA,"équipe",NA,"Banque, Assurance, Finance",29
"franfinance",1,NA,"intelligence artificielle",NA,NA,92
"française des jeux",1,NA,"français",NA,NA,92
"free",13,0,"équipe",44000,NA,59
"fretbay",1,NA,"prévision",NA,NA,75
"frisbee profiling",1,NA,"modélisation",99875,NA,92
"galec",34,1,"équipe",NA,NA,NA
"gameloft",2,0,"seaborn",NA,"Secteur informatique, ESN",75
"gan assurances",1,NA,"dataviz",NA,NA,92
"gemy automobiles",2,NA,"python",NA,NA,NA
"generali",8,0,"python",NA,NA,93
"generation",1,NA,"excel",NA,NA,29
"geniem",2,NA,"deep learning",111625,NA,59
"geodis",1,1,"modélisation",NA,"Transport, Logistique",73
"gerflor",1,NA,"collaboration",NA,NA,69
"geser best",1,NA,"power bi",33000,NA,33
"ghu paris psychiatrie et neurosciences",1,NA,"autonôme",NA,NA,75
"gip pulsy",1,NA,"communication",37500,NA,67
"gmbh",1,NA,"excel",48500,NA,92
"grant thornton",1,0,"équipe",NA,"Secteur informatique, ESN",92
"grant thornton france",3,NA,"sql",NA,NA,92
"gresb",1,NA,"python",NA,NA,75
"groupagora",7,0,"équipe",50000,"Secteur informatique, ESN",64
"groupama",12,1,"équipe",50000,NA,75
"groupe adp",4,0,"équipe",NA,"Transport, Logistique",94
"groupe alpha",2,NA,"deep learning",NA,NA,75
"groupe aptenia",2,NA,"deep learning",120437.5,NA,75
"groupe beaumanoir (siege)",1,NA,"python",NA,NA,35
"groupe creative",2,1,"git",45000,"Secteur informatique, ESN",59
"groupe dubreuil",2,0,"deep learning",NA,"Distribution, Commerce de gros",85
"groupe kering",4,NA,"english",NA,NA,75
"groupe le duff",1,NA,"modélisation",NA,NA,35
"groupe m6",1,NA,"aws",NA,NA,92
"groupe ogf",2,NA,"sql",56750,"BEP, CAP, Services aux Personnes, Particuliers",13
"groupe vilavi",1,1,"statistique",NA,"Banque, Assurance, Finance",93
"groupement d interet public pulsy",1,NA,"communication",NA,NA,67
"groupement les mousquetaires",4,0,"équipe",21466.6666666667,"Distribution, Commerce de gros",92
"groupm",1,NA,"bases de donnée",NA,"Média, Internet, Communication",75
"gueudet",1,NA,"sql",NA,NA,80
"gueudet 1880",1,NA,NA,NA,"Industrie Auto, Meca, Navale",80
"hager",1,NA,"statistique",NA,NA,33
"hardis",7,0,"équipe",NA,"Secteur informatique, ESN",38
"harmonie mutuelle",1,NA,"communication",NA,NA,35
"harry hope",3,1,"équipe",46666.6666666667,"Services aux Entreprises",21
"hauser",1,NA,"git",NA,NA,68
"havas group",2,7,"excel",NA,"Média, Internet, Communication",92
"havas media",1,NA,"reporting",NA,NA,75
"hays",9,1,"équipe",44937.5,"Secteur informatique, ESN",31
"health data hub",7,NA,"deep learning",NA,NA,NA
"hello watt",1,0,"rapport",NA,"Secteur Energie, Environnement",75
"hellofresh",2,1,"python",NA,"Distribution, Commerce de gros",75
"himydata",2,NA,"sql",49333.03,NA,6
"hippy sas   indienov",1,NA,"anglais",NA,NA,13
"hipto",7,NA,"sql",NA,NA,NA
"hitachi solutions ltd",1,NA,"tableau",NA,NA,75
"holcim",2,NA,"python",NA,NA,38
"hopital cavale blanche",1,NA,"deep learning",NA,NA,29
"hopital national des quinze vingts",2,NA,"collaboration",NA,NA,75
"hove",7,NA,"rapport",NA,NA,NA
"hp",1,NA,"statistical modeling",NA,NA,38
"hr team",3,1,"python",42500,"Secteur informatique, ESN",44
"hsbc",2,NA,"excel",NA,"Banque, Assurance, Finance",92
"iadvize",1,NA,"hadoop",NA,NA,44
"ibm",1,NA,"français",NA,NA,92
"icm",1,NA,"database",40000,NA,75
"ikigaï",1,NA,"english",36500,NA,69
"iliad",3,0,"équipe",NA,"Industrie high-tech, Telecom, Média, Internet, Communication",75
"imt",1,0,"deep learning",NA,"Enseignement, Formation",59
"in extenso",2,0,"aws",NA,"Secteur informatique, ESN",75
"in li",1,NA,"sql",NA,NA,92
